open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1672531200000,9.96600000,9.97100000,9.95215318,9.97100000,0,1672531259999,0,60,0,0,0
1672531260000,9.97119214,10.00965019,9.97100000,10.00352589,0,1672531319999,0,60,0,0,0
1672531320000,10.00008318,10.00365297,9.98675064,9.99873954,0,1672531379999,0,60,0,0,0
1672531380000,9.99874994,10.00970890,9.99520628,10.00363756,0,1672531439999,0,60,0,0,0
1672531440000,10.00300000,10.00398500,9.98180746,9.99329625,0,1672531499999,0,60,0,0,0
1672531500000,9.99416109,10.00500000,9.99100000,9.99200000,0,1672531559999,0,60,0,0,0
1672531560000,9.99226251,9.99906457,9.98617357,9.98645665,0,1672531619999,0,60,0,0,0
1672531620000,9.98640628,9.99532644,9.98400000,9.98486579,0,1672531679999,0,60,0,0,0
1672531680000,9.98481857,9.98690505,9.96522804,9.97006401,0,1672531739999,0,60,0,0,0
1672531740000,9.96449177,9.96465746,9.95449053,9.95449085,0,1672531799999,0,60,0,0,0
1672531800000,9.95389752,9.96700000,9.95351009,9.95900931,0,1672531859999,0,60,0,0,0
1672531860000,9.95891469,9.95950231,9.95208618,9.95722375,0,1672531919999,0,60,0,0,0
1672531920000,9.95727082,9.95727082,9.93800000,9.93923544,0,1672531979999,0,60,0,0,0
1672531980000,9.93981876,9.94588930,9.93300000,9.94588930,0,1672532039999,0,60,0,0,0
1672532040000,9.94570354,9.94576997,9.92900000,9.93213807,0,1672532099999,0,60,0,0,0
1672532100000,9.93500000,9.94130464,9.92404654,9.94000000,0,1672532159999,0,60,0,0,0
1672532160000,9.94000000,9.94600000,9.93411276,9.93900000,0,1672532219999,0,60,0,0,0
1672532220000,9.94000000,9.94137331,9.93100000,9.93100000,0,1672532279999,0,60,0,0,0
1672532280000,9.93100000,9.93661540,9.92672441,9.93661540,0,1672532339999,0,60,0,0,0
1672532340000,9.93784258,9.96731298,9.93784258,9.96620326,0,1672532399999,0,60,0,0,0
1672532400000,9.96652389,9.96823269,9.95308797,9.96823269,0,1672532459999,0,60,0,0,0
1672532460000,9.96800000,9.98428451,9.96097192,9.98428451,0,1672532519999,0,60,0,0,0
1672532520000,9.98432323,9.98466708,9.96227400,9.96813573,0,1672532579999,0,60,0,0,0
