open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1746057600000,1792.81359690,1793.63000000,1792.76452713,1793.31150388,0,1746057659999,0,60,0,0,0
1746057660000,1793.10080620,1793.72024031,1792.76452713,1792.76452713,0,1746057719999,0,60,0,0,0
1746057720000,1792.75868217,1793.86000000,1792.70449612,1793.72528682,0,1746057779999,0,60,0,0,0
1746057780000,1793.54528682,1793.54528682,1791.94292248,1791.94943411,0,1746057839999,0,60,0,0,0
1746057840000,1791.93059690,1794.78000000,1791.76415504,1794.75000000,0,1746057899999,0,60,0,0,0
1746057900000,1794.75000000,1795.79000000,1794.28000000,1795.40000000,0,1746057959999,0,60,0,0,0
1746057960000,1795.08396151,1796.54317562,1795.01000000,1796.20443411,0,1746058019999,0,60,0,0,0
1746058020000,1796.20466667,1796.20466667,1794.97081395,1795.85580192,0,1746058079999,0,60,0,0,0
1746058080000,1795.75115076,1795.99000000,1795.33819380,1795.99000000,0,1746058139999,0,60,0,0,0
1746058140000,1796.19000000,1796.40000000,1795.58930634,1796.39000000,0,1746058199999,0,60,0,0,0
1746058200000,1796.40000000,1797.19000000,1796.01013953,1797.13000000,0,1746058259999,0,60,0,0,0
1746058260000,1797.09730233,1798.08000000,1797.04217054,1797.98000000,0,1746058319999,0,60,0,0,0
1746058320000,1797.97000000,1798.14000000,1796.43463566,1796.86470543,0,1746058379999,0,60,0,0,0
1746058380000,1796.86479070,1796.94000000,1795.42648062,1795.42648062,0,1746058439999,0,60,0,0,0
1746058440000,1795.42299225,1795.42299225,1793.97731008,1794.70000000,0,1746058499999,0,60,0,0,0
1746058500000,1794.70000000,1795.99000000,1794.70000000,1795.99000000,0,1746058559999,0,60,0,0,0
1746058560000,1795.99000000,1796,1794.36141860,1794.38327907,0,1746058619999,0,60,0,0,0
1746058620000,1794.23632558,1794.51715504,1792.50514435,1792.86000000,0,1746058679999,0,60,0,0,0
1746058680000,1792.87000000,1793.29000000,1792.14000000,1793.11000000,0,1746058739999,0,60,0,0,0
1746058740000,1792.92000000,1794.22000000,1792.91000000,1794.21000000,0,1746058799999,0,60,0,0,0
1746058800000,1794.22000000,1794.84000000,1793.94000000,1794.22000000,0,1746058859999,0,60,0,0,0
1746058860000,1794.22027907,1794.70000000,1793.43629457,1793.57975969,0,1746058919999,0,60,0,0,0
1746058920000,1793.70000000,1793.90000000,1793.42241860,1793.50353248,0,1746058979999,0,60,0,0,0
1746058980000,1793.49934643,1794.55000000,1793.48056589,1794.54000000,0,1746059039999,0,60,0,0,0
1746059040000,1794.54000000,1795.38000000,1794.54000000,1794.77535285,0,1746059099999,0,60,0,0,0
1746059100000,1794.76628308,1795.06000000,1794.15289922,1795.05000000,0,1746059159999,0,60,0,0,0
1746059160000,1795.06000000,1796.22514729,1795.05000000,1795.33214729,0,1746059219999,0,60,0,0,0
1746059220000,1795.23028682,1795.23028682,1793.65503101,1793.65503101,0,1746059279999,0,60,0,0,0
1746059280000,1793.65433333,1793.79000000,1793.40631008,1793.42049612,0,1746059339999,0,60,0,0,0
1746059340000,1793.42514729,1793.98000000,1793.41098450,1793.58803876,0,1746059399999,0,60,0,0,0
1746059400000,1793.58000000,1793.58000000,1792.98403876,1792.98613178,0,1746059459999,0,60,0,0,0
1746059460000,1792.97078295,1793.40000000,1792.55000000,1792.79584496,0,1746059519999,0,60,0,0,0
1746059520000,1792.79077519,1793.50000000,1792.78000000,1793.29000000,0,1746059579999,0,60,0,0,0
1746059580000,1793.10714729,1793.28000000,1792.42000000,1793.27000000,0,1746059639999,0,60,0,0,0
1746059640000,1793.27000000,1794.21000000,1793.02000000,1793.81597674,0,1746059699999,0,60,0,0,0
1746059700000,1793.81597674,1794.93000000,1793.46842636,1794.31821705,0,1746059759999,0,60,0,0,0
1746059760000,1794.30310078,1794.50000000,1794.23000000,1794.40045736,0,1746059819999,0,60,0,0,0
1746059820000,1794.36789922,1794.36789922,1793.14000000,1793.15000000,0,1746059879999,0,60,0,0,0
1746059880000,1793.15000000,1795,1793.15000000,1794.99000000,0,1746059939999,0,60,0,0,0
1746059940000,1794.99000000,1794.99000000,1794.44113178,1794.44113178,0,1746059999999,0,60,0,0,0
1746060000000,1794.44113178,1795.01749612,1794.43415504,1794.98899225,0,1746060059999,0,60,0,0,0
