open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1693526400000,25928.10000000,25939.10000000,25919.98935882,25921.27783725,0,1693526459999,0,60,0,0,0
1693526460000,25921.28254314,25931.10000000,25920.19803725,25926.90000000,0,1693526519999,0,60,0,0,0
1693526520000,25927,25952,25927,25951,0,1693526579999,0,60,0,0,0
1693526580000,25951,25955.90000000,25942.62900588,25943.30000000,0,1693526639999,0,60,0,0,0
1693526640000,25943.40000000,25956.60000000,25943.30000000,25956.60000000,0,1693526699999,0,60,0,0,0
1693526700000,25956.60000000,25959.50000000,25956.22016863,25959.50000000,0,1693526759999,0,60,0,0,0
1693526760000,25959.50000000,25963.20000000,25954.62817255,25963.20000000,0,1693526819999,0,60,0,0,0
1693526820000,25963.42957129,25963.66165294,25960.38183333,25961.90000000,0,1693526879999,0,60,0,0,0
1693526880000,25961.90000000,25962.05272745,25960.13426863,25960.13897451,0,1693526939999,0,60,0,0,0
1693526940000,25960.12485686,25965.60000000,25959.23301894,25965.60000000,0,1693526999999,0,60,0,0,0
1693527000000,25965.60000000,25969.70000000,25964.62314118,25969.70000000,0,1693527059999,0,60,0,0,0
1693527060000,25969.70000000,25977.60000000,25969.70000000,25977.60000000,0,1693527119999,0,60,0,0,0
1693527120000,25977.60000000,25984.90000000,25977.50000000,25984.90000000,0,1693527179999,0,60,0,0,0
1693527180000,25984.80000000,25987.80000000,25980.30532941,25980.30532941,0,1693527239999,0,60,0,0,0
1693527240000,25980.31003529,25980.34119412,25973.25930588,25976.20000000,0,1693527299999,0,60,0,0,0
1693527300000,25978.80565882,25985,25977.25109216,25979.37132353,0,1693527359999,0,60,0,0,0
1693527360000,25979.36661765,25998.20000000,25979.29254706,25998.20000000,0,1693527419999,0,60,0,0,0
1693527420000,25998.20000000,26016.60000000,25998.20000000,26009.30000000,0,1693527479999,0,60,0,0,0
1693527480000,26009.14423529,26014.70000000,25996.59289332,26001,0,1693527539999,0,60,0,0,0
1693527540000,26001.10000000,26001.69781569,25999.09374118,25999.29767255,0,1693527599999,0,60,0,0,0
1693527600000,25999.33332941,26014.30000000,25999.33332941,26012.10000000,0,1693527659999,0,60,0,0,0
1693527660000,26012.20000000,26013.70000000,26007.69768235,26007.69768235,0,1693527719999,0,60,0,0,0
1693527720000,26007.69768235,26007.69768235,25997.00476471,25997.00476471,0,1693527779999,0,60,0,0,0
1693527780000,25997.02358824,26007.80000000,25997.02358824,25998.37555686,0,1693527839999,0,60,0,0,0
1693527840000,25998.37555686,26007.40000000,25997.08275098,25999.45404314,0,1693527899999,0,60,0,0,0
1693527900000,25999.35521961,26007,25994.81577059,25994.81577059,0,1693527959999,0,60,0,0,0
1693527960000,25994.81106471,26000,25994.60000000,25999.90000000,0,1693528019999,0,60,0,0,0
1693528020000,25999.90000000,26020.10000000,25999.90000000,26020.10000000,0,1693528079999,0,60,0,0,0
1693528080000,26020.20000000,26020.20000000,26014.11151373,26014.11621961,0,1693528139999,0,60,0,0,0
