open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1698796800000,34651.40000000,34672.64030037,34650.10000000,34668.90000000,0,1698796859999,0,60,0,0,0
1698796860000,34669.90000000,34683.90000000,34637.40000000,34637.40000000,0,1698796919999,0,60,0,0,0
1698796920000,34637.40000000,34652.71507692,34632.50000000,34651.30000000,0,1698796979999,0,60,0,0,0
1698796980000,34651.30000000,34651.40000000,34612.80000000,34621.53344943,0,1698797039999,0,60,0,0,0
1698797040000,34621,34622.07322894,34592,34613.29566300,0,1698797099999,0,60,0,0,0
1698797100000,34613.29126740,34617.65299634,34594.40000000,34603.30000000,0,1698797159999,0,60,0,0,0
1698797160000,34603.30000000,34617.85111538,34596.30000000,34616.94398535,0,1698797219999,0,60,0,0,0
1698797220000,34617.24662271,34670.54981868,34617.24662271,34657.30000000,0,1698797279999,0,60,0,0,0
1698797280000,34656.70000000,34662.23211355,34631.80000000,34642.20000000,0,1698797339999,0,60,0,0,0
1698797340000,34642.10000000,34650.78406966,34606.70000000,34611.60000000,0,1698797399999,0,60,0,0,0
1698797400000,34611.60000000,34612.47621062,34593.20000000,34599.10000000,0,1698797459999,0,60,0,0,0
1698797460000,34599.20000000,34602.47931685,34584.60000000,34593.87486813,0,1698797519999,0,60,0,0,0
1698797520000,34593.87926374,34612.50735165,34591.30000000,34611.84219231,0,1698797579999,0,60,0,0,0
1698797580000,34611.83779670,34611.87880586,34592.50000000,34599.62125641,0,1698797639999,0,60,0,0,0
1698797640000,34599.78015751,34606.87706091,34591.76189011,34598.27918132,0,1698797699999,0,60,0,0,0
1698797700000,34598.27918132,34616.73377106,34593.10000000,34596.95169780,0,1698797759999,0,60,0,0,0
1698797760000,34600.47631319,34641.79877445,34600.47631319,34630,0,1698797819999,0,60,0,0,0
1698797820000,34630,34633.11939377,34607.80000000,34612.90000000,0,1698797879999,0,60,0,0,0
1698797880000,34615.80000000,34621.53087546,34600.10000000,34609.09791758,0,1698797939999,0,60,0,0,0
1698797940000,34609.11609524,34623.72605128,34607.80000000,34623.72605128,0,1698797999999,0,60,0,0,0
1698798000000,34624.63660073,34653.22937179,34624.63660073,34641.60000000,0,1698798059999,0,60,0,0,0
1698798060000,34642.20000000,34643.73629670,34605.56842243,34605.56842243,0,1698798119999,0,60,0,0,0
1698798120000,34605.56842243,34605.56842243,34559.95820879,34568.76441575,0,1698798179999,0,60,0,0,0
1698798180000,34566.30000000,34568.00551465,34545.10000000,34545.61096886,0,1698798239999,0,60,0,0,0
1698798240000,34545.65047436,34571.39727839,34545.65047436,34567.87422894,0,1698798299999,0,60,0,0,0
1698798300000,34567.86543773,34574.98733333,34549.20000000,34553.52398901,0,1698798359999,0,60,0,0,0
1698798360000,34553.20212088,34553.24102198,34527.80000000,34536.20000000,0,1698798419999,0,60,0,0,0
1698798420000,34536.20000000,34545.72758059,34515.70000000,34542.07158242,0,1698798479999,0,60,0,0,0
1698798480000,34542.18191209,34551.87273443,34542.18191209,34548.71482601,0,1698798539999,0,60,0,0,0
1698798540000,34549.92141941,34558.79876007,34549.92141941,34558.79876007,0,1698798599999,0,60,0,0,0
1698798600000,34558.79876007,34565.91395971,34547.10000000,34550.90000000,0,1698798659999,0,60,0,0,0
1698798660000,34550.90000000,34563.28749634,34544,34559.20000000,0,1698798719999,0,60,0,0,0
1698798720000,34559.20000000,34566.23463370,34552.20000000,34552.20000000,0,1698798779999,0,60,0,0,0
1698798780000,34564.35844689,34585.70000000,34556.10000000,34583.73830586,0,1698798839999,0,60,0,0,0
1698798840000,34584.02555861,34598.90000000,34565.90000000,34586.97769045,0,1698798899999,0,60,0,0,0
1698798900000,34586.97769045,34613.09657875,34586.97769045,34589.50000000,0,1698798959999,0,60,0,0,0
1698798960000,34589.50000000,34613.89536264,34582.80000000,34611.64880586,0,1698799019999,0,60,0,0,0
1698799020000,34611.67849084,34612.60000000,34596.90000000,34603.05006777,0,1698799079999,0,60,0,0,0
1698799080000,34600.50000000,34601.66655678,34592.70000000,34596.60346886,0,1698799139999,0,60,0,0,0
1698799140000,34596.60346886,34606,34592.90000000,34592.90000000,0,1698799199999,0,60,0,0,0
1698799200000,34592.80000000,34600.14940476,34570.77856593,34570.77856593,0,1698799259999,0,60,0,0,0
1698799260000,34570.77856593,34570.77856593,34538.20000000,34544.10000000,0,1698799319999,0,60,0,0,0
1698799320000,34544.20000000,34552.81029121,34521.10000000,34527.20000000,0,1698799379999,0,60,0,0,0
1698799380000,34527.50000000,34531.84367766,34523.50000000,34524.20000000,0,1698799439999,0,60,0,0,0
1698799440000,34524.20000000,34530.93338278,34520.70000000,34522.28830952,0,1698799499999,0,60,0,0,0
1698799500000,34522.40851282,34547.35061172,34522.40851282,34547.35061172,0,1698799559999,0,60,0,0,0
1698799560000,34549.24028205,34551.33208425,34535.70000000,34540.36957875,0,1698799619999,0,60,0,0,0
1698799620000,34540.35199634,34558.70292233,34538,34557.10000000,0,1698799679999,0,60,0,0,0
1698799680000,34557.10000000,34559.69358059,34553.10000000,34559.69358059,0,1698799739999,0,60,0,0,0
1698799740000,34561.08720696,34568.80671795,34541.30000000,34541.80000000,0,1698799799999,0,60,0,0,0
1698799800000,34541.90000000,34559.02254945,34541.80000000,34557.60000000,0,1698799859999,0,60,0,0,0
1698799860000,34553.50000000,34555.10000000,34541.10000000,34544,0,1698799919999,0,60,0,0,0
1698799920000,34544,34548.20000000,34530.90000000,34530.90000000,0,1698799979999,0,60,0,0,0
1698799980000,34530.90000000,34530.90000000,34520.90000000,34520.90000000,0,1698800039999,0,60,0,0,0
1698800040000,34520.90000000,34520.90000000,34510,34517.68751465,0,1698800099999,0,60,0,0,0
1698800100000,34517.68751465,34528.69888095,34517.68751465,34525.52558791,0,1698800159999,0,60,0,0,0
1698800160000,34525.52998352,34533.90000000,34511.60000000,34511.60000000,0,1698800219999,0,60,0,0,0
1698800220000,34511.60000000,34523.39669963,34509.90000000,34516.52504396,0,1698800279999,0,60,0,0,0
1698800280000,34516.67542308,34519.31402381,34510,34513.69116850,0,1698800339999,0,60,0,0,0
1698800340000,34513.69556410,34521.70440110,34513.69556410,34521.66823993,0,1698800399999,0,60,0,0,0
1698800400000,34521.58911905,34535.82059341,34521.58911905,34529.83273421,0,1698800459999,0,60,0,0,0
1698800460000,34529.83273421,34534.01220696,34525.40000000,34531.40000000,0,1698800519999,0,60,0,0,0
1698800520000,34530,34530,34512.90000000,34518,0,1698800579999,0,60,0,0,0
1698800580000,34518,34531.34354396,34518,34522.50000000,0,1698800639999,0,60,0,0,0
1698800640000,34522.50000000,34524.90000000,34512,34520.10000000,0,1698800699999,0,60,0,0,0
1698800700000,34520.10000000,34520.20000000,34500.10000000,34500.20000000,0,1698800759999,0,60,0,0,0
1698800760000,34500.20000000,34503.60000000,34477.40000000,34478.13673260,0,1698800819999,0,60,0,0,0
1698800820000,34477.40000000,34510.88815568,34477.40000000,34510.80320513,0,1698800879999,0,60,0,0,0
1698800880000,34510.79847985,34516.27253114,34496.96879847,34516.26813553,0,1698800939999,0,60,0,0,0
1698800940000,34516.26813553,34516.51334615,34510.63342308,34516.51334615,0,1698800999999,0,60,0,0,0
1698801000000,34516.51334615,34525.08170879,34516.51334615,34517.10000000,0,1698801059999,0,60,0,0,0
1698801060000,34514.62596337,34520.18138095,34506.40000000,34514.70000000,0,1698801119999,0,60,0,0,0
1698801120000,34514.70000000,34519.69366667,34507.80000000,34516.50000000,0,1698801179999,0,60,0,0,0
1698801180000,34516.50000000,34528.69605886,34516.50000000,34528.69605886,0,1698801239999,0,60,0,0,0
1698801240000,34531.44726765,34542.14027289,34531.44726765,34535.80000000,0,1698801299999,0,60,0,0,0
1698801300000,34535.70000000,34541.94110440,34524.80000000,34524.90000000,0,1698801359999,0,60,0,0,0
1698801360000,34524.80000000,34539.45827106,34522.30000000,34522.40000000,0,1698801419999,0,60,0,0,0
1698801420000,34522.30000000,34522.40000000,34511.60000000,34511.60000000,0,1698801479999,0,60,0,0,0
1698801480000,34511.60000000,34513.36190476,34510.90000000,34511,0,1698801539999,0,60,0,0,0
1698801540000,34510.90000000,34526.84983150,34510.90000000,34524.73104945,0,1698801599999,0,60,0,0,0
1698801600000,34524.68050000,34533.90106410,34523.93399817,34530.40000000,0,1698801659999,0,60,0,0,0
1698801660000,34530.30000000,34541.67598249,34530.30000000,34541.56589682,0,1698801719999,0,60,0,0,0
1698801720000,34541.56589682,34552.19236447,34539.40174176,34549,0,1698801779999,0,60,0,0,0
1698801780000,34549,34561.43481319,34548.90000000,34550.60000000,0,1698801839999,0,60,0,0,0
1698801840000,34550.70000000,34552.74152564,34545.30000000,34545.40000000,0,1698801899999,0,60,0,0,0
1698801900000,34545.40000000,34562.98472894,34545.30000000,34553.40000000,0,1698801959999,0,60,0,0,0
1698801960000,34553,34553,34540.40000000,34540.44263919,0,1698802019999,0,60,0,0,0
1698802020000,34540.38479304,34549.88924359,34540.38479304,34548.93039377,0,1698802079999,0,60,0,0,0
1698802080000,34548.92599817,34558.60000000,34548.92599817,34554.50000000,0,1698802139999,0,60,0,0,0
1698802140000,34554.50000000,34563.54156640,34550.70000000,34563.54156640,0,1698802199999,0,60,0,0,0
1698802200000,34563.53497299,34568.27297253,34563.53497299,34568.22033516,0,1698802259999,0,60,0,0,0
1698802260000,34568.22099451,34568.47267949,34565.43191392,34565.50660623,0,1698802319999,0,60,0,0,0
1698802320000,34565.57359524,34569.75978022,34565.56040842,34569.75978022,0,1698802379999,0,60,0,0,0
1698802380000,34569.60153846,34572.85321032,34555.90000000,34560.10000000,0,1698802439999,0,60,0,0,0
1698802440000,34560.20000000,34571.05858609,34560.20000000,34571.05858609,0,1698802499999,0,60,0,0,0
1698802500000,34571.05792675,34571.17422960,34558.40000000,34558.40000000,0,1698802559999,0,60,0,0,0
1698802560000,34558.30000000,34565.86494849,34558.30000000,34562.30000000,0,1698802619999,0,60,0,0,0
1698802620000,34562.20000000,34567.60000000,34553.50000000,34553.50000000,0,1698802679999,0,60,0,0,0
1698802680000,34553.40000000,34556.60000000,34537.50000000,34537.60000000,0,1698802739999,0,60,0,0,0
1698802740000,34537.50000000,34537.60000000,34524.80000000,34524.80000000,0,1698802799999,0,60,0,0,0
1698802800000,34524.90000000,34524.90000000,34505,34505.10000000,0,1698802859999,0,60,0,0,0
1698802860000,34505,34509.60512637,34493.80000000,34503.30000000,0,1698802919999,0,60,0,0,0
1698802920000,34503.30000000,34504.25958608,34496.60000000,34496.60000000,0,1698802979999,0,60,0,0,0
1698802980000,34496.60000000,34506.08449267,34496.60000000,34506.08449267,0,1698803039999,0,60,0,0,0
1698803040000,34506.08449267,34513.24250000,34506.08449267,34513.24250000,0,1698803099999,0,60,0,0,0
1698803100000,34513.35695604,34513.35695604,34495.40000000,34498.50000000,0,1698803159999,0,60,0,0,0
1698803160000,34498.50000000,34508.30000000,34486.50000000,34505.90000000,0,1698803219999,0,60,0,0,0
1698803220000,34505.90000000,34516.57241575,34505.90000000,34516.57241575,0,1698803279999,0,60,0,0,0
1698803280000,34516.57241575,34516.67248650,34515.90000000,34515.94789560,0,1698803339999,0,60,0,0,0
1698803340000,34515.94789560,34527.44616667,34515.70721062,34527.44284799,0,1698803399999,0,60,0,0,0
1698803400000,34527.44284799,34531.29166850,34527.43845238,34531.29166850,0,1698803459999,0,60,0,0,0
1698803460000,34531.79672344,34532.43248718,34525.60000000,34525.70000000,0,1698803519999,0,60,0,0,0
1698803520000,34520.30000000,34520.30000000,34506.90000000,34506.90000000,0,1698803579999,0,60,0,0,0
1698803580000,34507,34510,34506.90000000,34510,0,1698803639999,0,60,0,0,0
1698803640000,34510,34510,34501,34501,0,1698803699999,0,60,0,0,0
1698803700000,34501,34501.10000000,34495.03652198,34496.16405495,0,1698803759999,0,60,0,0,0
1698803760000,34496.72140110,34504.29803114,34496.72140110,34504.29803114,0,1698803819999,0,60,0,0,0
1698803820000,34504.29803114,34506.43364652,34504.29803114,34506.43364652,0,1698803879999,0,60,0,0,0
1698803880000,34506.43364652,34507.37757875,34506.43177839,34507.37318315,0,1698803939999,0,60,0,0,0
1698803940000,34507.37318315,34507.77821245,34505.10000000,34507.10000000,0,1698803999999,0,60,0,0,0
1698804000000,34507,34507,34481.10000000,34481.10000000,0,1698804059999,0,60,0,0,0
1698804060000,34478.10000000,34482,34436.57461167,34455.29531502,0,1698804119999,0,60,0,0,0
1698804120000,34457.27491392,34473.78919597,34457.27491392,34468,0,1698804179999,0,60,0,0,0
1698804180000,34466.84184799,34472.74235348,34466.31710256,34467,0,1698804239999,0,60,0,0,0
1698804240000,34466.90000000,34483.21152015,34466.90000000,34482.87621978,0,1698804299999,0,60,0,0,0
1698804300000,34482.87621978,34482.88273993,34474,34480.76418132,0,1698804359999,0,60,0,0,0
1698804360000,34480.76418132,34489.93986630,34480.30000000,34481.30000000,0,1698804419999,0,60,0,0,0
1698804420000,34481.30000000,34490.22574542,34475,34490.22574542,0,1698804479999,0,60,0,0,0
1698804480000,34490.20412821,34497.34969528,34489.94105128,34495.70000000,0,1698804539999,0,60,0,0,0
1698804540000,34495.80000000,34495.80000000,34483.80000000,34483.80000000,0,1698804599999,0,60,0,0,0
1698804600000,34483.90000000,34491.21958165,34483.80000000,34491.21958165,0,1698804659999,0,60,0,0,0
